sample,cycle,parameter,motion,material,id,elev_min,elev_max,nparts,npoints,perimeter,area,areaperc,perimperc
id2-5,before,slope,Impact,Flint,0,0,10,1174,68634,534.76,28.552,12.86282565897654,10.693944530912072
id2-5,before,slope,Impact,Flint,1,10,20,2029,120708,941.049,38.804,17.481405396151782,18.8187706763226
id2-5,before,slope,Impact,Flint,2,20,30,1845,104757,824.133,33.886,15.26582061782289,16.48072516286588
id2-5,before,slope,Impact,Flint,3,30,40,2217,123507,965.269,44.039,19.83980033607691,19.303113814438184
id2-5,before,slope,Impact,Flint,4,40,50,2340,137720,1056.052,45.689,20.58313398476391,21.118560680976053
id2-5,before,slope,Impact,Flint,5,50,60,1412,80458,600.704,29.637,13.351623846143449,12.012669712575743
id2-5,before,slope,Impact,Flint,6,60,70,349,10928,78.62,1.366,0.6153901600645124,1.5722154219094682
id3-3,before,slope,Impact,Flint,0,0,10,54,2835,31.196,1.703,1.3761949784641245,2.6591042954302724
id3-3,before,slope,Impact,Flint,1,10,20,180,14495,164.616,20.727,16.749496957502,14.031642284156613
id3-3,before,slope,Impact,Flint,2,20,30,279,23651,274.062,28.866,23.32662610002667,23.360669361912144
id3-3,before,slope,Impact,Flint,3,30,40,265,23932,278.78,30.843,24.92424058765061,23.7628252173372
id3-3,before,slope,Impact,Flint,4,40,50,237,21764,250.885,26.089,21.082531293687925,21.385093638896773
id3-3,before,slope,Impact,Flint,5,50,60,143,13026,143.841,13.683,11.057237751218212,12.260809749935433
id3-3,before,slope,Impact,Flint,6,60,70,37,2659,27.544,1.781,1.4392268095388172,2.347812819378491
id3-3,before,slope,Impact,Flint,7,70,80,5,216,2.253,0.055,0.044445521911642305,0.19204263295308385
id3-8,before,slope,Impact,Bone,0,0,10,24,991,11.939,0.39,0.28480042062831357,2.360741184542771
id3-8,before,slope,Impact,Bone,1,10,20,113,10327,122.548,30.349,22.16258452730433,24.231854483905476
id3-8,before,slope,Impact,Bone,2,20,30,149,18261,220.901,83.366,60.878645810512786,43.67954505458436
id3-8,before,slope,Impact,Bone,3,30,40,72,11230,133.351,21.417,15.63992463742716,26.36797032414465
id3-8,before,slope,Impact,Bone,4,40,50,9,1542,16.992,1.416,1.0340446041274154,3.3598889528227462
id3-9,before,slope,Impact,Bone,0,0,10,99,12489,121.867,45.285,28.236944660950897,15.738969728826385
id3-9,before,slope,Impact,Bone,1,10,20,186,23774,235.798,38.594,24.064848012470772,30.453015041953968
